,영상 제목,링크,분류,text,likes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,난 채식은 못하지만 그래도 축산이 개선은 되야함 ㅇㅇ,376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,채식주의자:정상/고기 채소 둘다먹는사람 : 정상/고기만먹는사람:정상/채식주의자 돼라고 강요하는사람 :비정상,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그냥 먹고싶은사람 먹고 먹기싫음 먹지말고 서로 강요하지마,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,확실한건 공장식 축산사업보다는 더 나은 길을 가야한다.,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"차라리 영양학분야의 전문가중 채식인 사람 육식하는사람 사이의 논쟁이었으면 좋았을텐데.. 한쪽은 신념에 따른 채식주의자 나머지 한쪽은 고기 장사로 먹고 사는 길 가르치는 사람 (+고기 장사하는 사람) 이니까 뭔가 제대로된 논쟁이 되지 않네요 영양적인 면, 생명윤리면에서 제대로 된 반박이 있었으면 좋았을텐데",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,정상인들을 육식주의자로 몰아가는 게 웃기다 ㅋㅋ 난 삼겹살을 먹어도 쌈 싸먹어야해서 채식을 안할 수가 없다 ㅋㅋ,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,03:40에서 거르고 본다 ㅋㅋㅋㅋ 🤣,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,00:23 육성으로 터짐ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,3:26하반신마비인 사람의 다리를 잘라도된다는 말이랑 다를게 없는데,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"사람들이 이젠 살기 좋으니까 먹을거로 서로 싸우네 
걍 고기랑 야체랑 같이 먹는거지 배부르고 등따시니까 저러는거지",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,저도 육식을 아에 안하는건 아니지만 줄이려는 사람으로서 뭐든지 적당히가 좋습니다 과하지만 않으면 몸에서 해독합니다,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,3:39 그래서 안락사를..,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
